census_year,geo_name,category,subcategory,variable_name,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2011,Ross River,Total labour force aged 15 years and over by class of worker,,Class of worker - not applicable,20,20,0,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs85'>85</a>,6001037
2011,Ross River,Total labour force aged 15 years and over by class of worker,,All classes of worker,190,95,90,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs86'>86</a>,6001037
2011,Ross River,Total labour force aged 15 years and over by class of worker,All classes of worker,Employee,180,90,90,,,,,,6001037
2011,Ross River,Total labour force aged 15 years and over by class of worker,All classes of worker,Self-employed,10,10,0,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs87'>87</a>,6001037
2011,Teslin Region,,,Total labour force aged 15 years and over by class of worker,125,,,,,,,,YBS006057007
2011,Teslin Region,Total labour force aged 15 years and over by class of worker,,Class of worker - not applicable,10,,,,,,,,YBS006057007
2011,Teslin Region,Total labour force aged 15 years and over by class of worker,,All classes of worker,110,,,,,,,,YBS006057007
2011,Teslin Region,Total labour force aged 15 years and over by class of worker,All classes of worker,Employee,95,,,,,,,,YBS006057007
2011,Teslin Region,Total labour force aged 15 years and over by class of worker,All classes of worker,Self-employed,20,,,,,,,,YBS006057007
2011,Teslin Post 13,,,Total labour force aged 15 years and over by class of worker,55,30,30,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs84'>84</a>,6001007
2011,Teslin Post 13,Total labour force aged 15 years and over by class of worker,,Class of worker - not applicable,10,0,0,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs85'>85</a>,6001007
2011,Teslin Post 13,Total labour force aged 15 years and over by class of worker,,All classes of worker,50,25,25,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs86'>86</a>,6001007
2011,Teslin Post 13,Total labour force aged 15 years and over by class of worker,All classes of worker,Employee,45,25,25,,,,,,6001007
2011,Teslin Post 13,Total labour force aged 15 years and over by class of worker,All classes of worker,Self-employed,0,0,0,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs87'>87</a>,6001007
2011,Upper Liard,,,Total labour force aged 15 years and over by class of worker,75,45,25,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs84'>84</a>,6001032
2011,Upper Liard,Total labour force aged 15 years and over by class of worker,,Class of worker - not applicable,20,15,10,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs85'>85</a>,6001032
2011,Upper Liard,Total labour force aged 15 years and over by class of worker,,All classes of worker,50,30,15,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs86'>86</a>,6001032
2011,Upper Liard,Total labour force aged 15 years and over by class of worker,All classes of worker,Employee,45,25,20,,,,,,6001032
2011,Upper Liard,Total labour force aged 15 years and over by class of worker,All classes of worker,Self-employed,0,0,0,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs87'>87</a>,6001032
2011,Watson Lake,,,Total labour force aged 15 years and over by class of worker,510,275,230,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs84'>84</a>,6001003
2011,Watson Lake,Total labour force aged 15 years and over by class of worker,,Class of worker - not applicable,10,0,0,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs85'>85</a>,6001003
2011,Watson Lake,Total labour force aged 15 years and over by class of worker,,All classes of worker,500,275,230,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs86'>86</a>,6001003
2011,Watson Lake,Total labour force aged 15 years and over by class of worker,All classes of worker,Employee,440,230,215,,,,,,6001003
2011,Watson Lake,Total labour force aged 15 years and over by class of worker,All classes of worker,Self-employed,60,50,15,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs87'>87</a>,6001003
2011,Watson Lake Region,,,Total labour force aged 15 years and over by class of worker,630,,,,,,,,YBS003032033034035
2011,Watson Lake Region,Total labour force aged 15 years and over by class of worker,,Class of worker - not applicable,35,,,,,,,,YBS003032033034035
2011,Watson Lake Region,Total labour force aged 15 years and over by class of worker,,All classes of worker,600,,,,,,,,YBS003032033034035
2011,Watson Lake Region,Total labour force aged 15 years and over by class of worker,All classes of worker,Employee,530,,,,,,,,YBS003032033034035
2011,Watson Lake Region,Total labour force aged 15 years and over by class of worker,All classes of worker,Self-employed,65,,,,,,,,YBS003032033034035
