census_year,geo_name,category,subcategory,variable_name,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2011,Burwash Landing,Total number of occupied private dwellings by period of construction,,1991 to 2000,15,,,,...,...,,,6001039
2011,Burwash Landing,Total number of occupied private dwellings by period of construction,,2001 to 2005,0,,,,...,...,,,6001039
2011,Burwash Landing,Total number of occupied private dwellings by period of construction,,2006 to 2011,0,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs100'>100</a>,6001039
2011,Burwash Landing,,,Total number of occupied private dwellings by number of rooms,50,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs101'>101</a>,6001039
2011,Burwash Landing,Total number of occupied private dwellings by number of rooms,,1 to 4 rooms,15,,,,...,...,,,6001039
2011,Burwash Landing,Total number of occupied private dwellings by number of rooms,,5 rooms,25,,,,...,...,,,6001039
2011,Burwash Landing,Total number of occupied private dwellings by number of rooms,,6 rooms,10,,,,...,...,,,6001039
2011,Burwash Landing,Total number of occupied private dwellings by number of rooms,,7 rooms,0,,,,...,...,,,6001039
2011,Burwash Landing,Total number of occupied private dwellings by number of rooms,,8 or more rooms,0,,,,...,...,,,6001039
2011,Burwash Landing,,,Average number of rooms per dwelling,4.8,,,,...,...,,,6001039
2011,Burwash Landing,,,Total number of occupied private dwellings by number of bedrooms,50,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs102'>102</a>,6001039
2011,Burwash Landing,Total number of occupied private dwellings by number of bedrooms,,0 to 1 bedroom,10,,,,...,...,,,6001039
2011,Burwash Landing,Total number of occupied private dwellings by number of bedrooms,,2 bedrooms,30,,,,...,...,,,6001039
2011,Burwash Landing,Total number of occupied private dwellings by number of bedrooms,,3 bedrooms,15,,,,...,...,,,6001039
2011,Burwash Landing,Total number of occupied private dwellings by number of bedrooms,,4 or more bedrooms,0,,,,...,...,,,6001039
2011,Carcross,,,Total number of occupied private dwellings by condition of dwelling,140,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs98'>98</a>,6001048
2011,Carcross,Total number of occupied private dwellings by condition of dwelling,,Only regular maintenance or minor repairs needed,105,,,,...,...,,,6001048
2011,Carcross,Total number of occupied private dwellings by condition of dwelling,,Major repairs needed,35,,,,...,...,,,6001048
2011,Carcross,,,Total number of occupied private dwellings by period of construction,145,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs99'>99</a>,6001048
2011,Carcross,Total number of occupied private dwellings by period of construction,,1960 or before,15,,,,...,...,,,6001048
2011,Carcross,Total number of occupied private dwellings by period of construction,,1961 to 1980,35,,,,...,...,,,6001048
2011,Carcross,Total number of occupied private dwellings by period of construction,,1981 to 1990,20,,,,...,...,,,6001048
2011,Carcross,Total number of occupied private dwellings by period of construction,,1991 to 2000,35,,,,...,...,,,6001048
2011,Carcross,Total number of occupied private dwellings by period of construction,,2001 to 2005,25,,,,...,...,,,6001048
2011,Carcross,Total number of occupied private dwellings by period of construction,,2006 to 2011,10,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs100'>100</a>,6001048
2011,Carcross,,,Total number of occupied private dwellings by number of rooms,145,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs101'>101</a>,6001048
2011,Carcross,Total number of occupied private dwellings by number of rooms,,1 to 4 rooms,70,,,,...,...,,,6001048
2011,Carcross,Total number of occupied private dwellings by number of rooms,,5 rooms,25,,,,...,...,,,6001048
2011,Carcross,Total number of occupied private dwellings by number of rooms,,6 rooms,20,,,,...,...,,,6001048
2011,Carcross,Total number of occupied private dwellings by number of rooms,,7 rooms,10,,,,...,...,,,6001048
2011,Carcross,Total number of occupied private dwellings by number of rooms,,8 or more rooms,15,,,,...,...,,,6001048
2011,Carcross,,,Average number of rooms per dwelling,4.7,,,,...,...,,,6001048
2011,Carcross,,,Total number of occupied private dwellings by number of bedrooms,140,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs102'>102</a>,6001048
2011,Carcross,Total number of occupied private dwellings by number of bedrooms,,0 to 1 bedroom,35,,,,...,...,,,6001048
2011,Carcross,Total number of occupied private dwellings by number of bedrooms,,2 bedrooms,60,,,,...,...,,,6001048
2011,Carcross,Total number of occupied private dwellings by number of bedrooms,,3 bedrooms,40,,,,...,...,,,6001048
2011,Carcross,Total number of occupied private dwellings by number of bedrooms,,4 or more bedrooms,10,,,,...,...,,,6001048
2011,Carcross Region,,,Total number of occupied private dwellings by condition of dwelling,160,,,,,,,,YBS048008
2011,Carcross Region,Total number of occupied private dwellings by condition of dwelling,,Only regular maintenance or minor repairs needed,115,,,,,,,,YBS048008
2011,Carcross Region,Total number of occupied private dwellings by condition of dwelling,,Major repairs needed,40,,,,,,,,YBS048008
2011,Carcross Region,,,Total number of occupied private dwellings by period of construction,165,,,,,,,,YBS048008
2011,Carcross Region,Total number of occupied private dwellings by period of construction,,1960 or before,15,,,,,,,,YBS048008
2011,Carcross Region,Total number of occupied private dwellings by period of construction,,1961 to 1980,35,,,,,,,,YBS048008
2011,Carcross Region,Total number of occupied private dwellings by period of construction,,1981 to 1990,30,,,,,,,,YBS048008
2011,Carcross Region,Total number of occupied private dwellings by period of construction,,1991 to 2000,50,,,,,,,,YBS048008
2011,Carcross Region,Total number of occupied private dwellings by period of construction,,2001 to 2005,30,,,,,,,,YBS048008
2011,Carcross Region,Total number of occupied private dwellings by period of construction,,2006 to 2011,0,,,,,,,,YBS048008
2011,Carcross Region,,,Total number of occupied private dwellings by number of rooms,160,,,,,,,,YBS048008
2011,Carcross Region,Total number of occupied private dwellings by number of rooms,,1 to 4 rooms,80,,,,,,,,YBS048008
2011,Carcross Region,Total number of occupied private dwellings by number of rooms,,5 rooms,30,,,,,,,,YBS048008
2011,Carcross Region,Total number of occupied private dwellings by number of rooms,,6 rooms,25,,,,,,,,YBS048008
2011,Carcross Region,Total number of occupied private dwellings by number of rooms,,7 rooms,15,,,,,,,,YBS048008
