census_year,geo_name,category,subcategory,variable_name,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2011,Marsh Lake,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,100,45,50,,,,,,6001058
2011,Marsh Lake,Total population 15 years and over by marital status,,Not married and not living with a common-law partner,185,100,85,,,,,,6001058
2011,Marsh Lake,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),95,55,40,,,,,,6001058
2011,Marsh Lake,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,10,5,10,,,,,,6001058
2011,Marsh Lake,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,60,40,25,,,,,,6001058
2011,Marsh Lake,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,15,5,10,,,,,,6001058
2011,Mayo,,,Total population 15 years and over by marital status,190,90,100,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census6'>6</a>,6001022
2011,Mayo,Total population 15 years and over by marital status,,Married or living with a common-law partner,85,45,40,,,,,,6001022
2011,Mayo,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),55,30,25,,,,,,6001058
2011,Mayo,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,35,15,15,,,,,,6001022
2011,Mayo,Total population 15 years and over by marital status,,Not married and not living with a common-law partner,105,45,55,,,,,,6001022
2011,Mayo,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),75,35,40,,,,,,6001058
2011,Mayo,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,0,0,5,,,,,,6001058
2011,Mayo,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,10,5,5,,,,,,6001022
2011,Mayo,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,10,5,10,,,,,,6001022
2011,Moosehide Creek 2,,,Total population 15 years and over by marital status,,,,x,x,x,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census6'>6</a>,6001022
2011,Moosehide Creek 2,Total population 15 years and over by marital status,,Married or living with a common-law partner,,,,x,x,x,,,6001022
2011,Moosehide Creek 2,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),,,,x,x,x,,,6001022
2011,Moosehide Creek 2,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,,,,x,x,x,,,6001022
2011,Moosehide Creek 2,Total population 15 years and over by marital status,,Not married and not living with a common-law partner,,,,x,x,x,,,6001022
2011,Moosehide Creek 2,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),,,,x,x,x,,,6001022
2011,Moosehide Creek 2,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,,,,x,x,x,,,6001022
2011,Moosehide Creek 2,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,,,,x,x,x,,,6001022
2011,Moosehide Creek 2,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,,,,x,x,x,,,6001022
2011,Mt. Lorne,,,Total population 15 years and over by marital status,335,180,160,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census6'>6</a>,6001044
2011,Mt. Lorne,Total population 15 years and over by marital status,,Married or living with a common-law partner,235,115,120,,,,,,6001044
2011,Mt. Lorne,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),155,80,80,,,,,,6001044
2011,Mt. Lorne,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,75,40,40,,,,,,6001044
2011,Mt. Lorne,Total population 15 years and over by marital status,,Not married and not living with a common-law partner,105,60,45,,,,,,6001044
2011,Mt. Lorne,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),70,40,30,,,,,,6001044
2011,Mt. Lorne,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,10,5,0,,,,,,6001044
2011,Mt. Lorne,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,20,15,10,,,,,,6001044
2011,Mt. Lorne,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,5,0,5,,,,,,6001044
2011,Old Crow,,,Total population 15 years and over by marital status,190,100,90,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census6'>6</a>,6001043
2011,Old Crow,Total population 15 years and over by marital status,,Married or living with a common-law partner,80,40,40,,,,,,6001043
2011,Old Crow,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),40,20,20,,,,,,6001043
2011,Old Crow,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,35,20,15,,,,,,6001043
2011,Old Crow,Total population 15 years and over by marital status,,Not married and not living with a common-law partner,110,60,55,,,,,,6001043
2011,Old Crow,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),80,45,35,,,,,,6001043
