census_year,geo_name,category,subcategory,variable_name,topic,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2011,Beaver Creek,Total number of owner and tenant households with household total income greater than zero; in non-farm; non-reserve private dwellings by shelter-cost-to-income ratio,Spending 30% or more of household total income on shelter costs,Spending 30% to less than 100% of household total income on shelter costs,Shelter costs,,,,x,...,...,,,6001042
2011,Beaver Creek,,,Number of owner households in non-farm; non-reserve private dwellings,Shelter costs,15,,,,...,...,,,6001042
2011,Beaver Creek,Number of owner households in non-farm; non-reserve private dwellings,,% of owner households with a mortgage,Shelter costs,0,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs110'>110</a>,6001042
2011,Beaver Creek,Number of owner households in non-farm; non-reserve private dwellings,,% of owner households spending 30% or more of household total income on shelter costs,Shelter costs,,,,x,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs111'>111</a>,6001042
2011,Beaver Creek,Number of owner households in non-farm; non-reserve private dwellings,,Median monthly shelter costs for owned dwellings ($),Shelter costs,583,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs112'>112</a>,6001042
2011,Beaver Creek,Number of owner households in non-farm; non-reserve private dwellings,,Average monthly shelter costs for owned dwellings ($),Shelter costs,640,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs112'>112</a>,6001042
2011,Beaver Creek,Number of owner households in non-farm; non-reserve private dwellings,,Median value of dwellings ($),Shelter costs,160473,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs113'>113</a>,6001042
2011,Beaver Creek,Number of owner households in non-farm; non-reserve private dwellings,,Average value of dwellings ($),Shelter costs,155717,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs113'>113</a>,6001042
2011,Beaver Creek,,,Number of tenant households in non-farm; non-reserve private dwellings,Shelter costs,15,,,,...,...,,,6001042
2011,Beaver Creek,Number of tenant households in non-farm; non-reserve private dwellings,,% of tenant households in subsidized housing,Shelter costs,75,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs114'>114</a>,6001042
2011,Beaver Creek,Number of tenant households in non-farm; non-reserve private dwellings,,% of tenant households spending 30% or more of household total income on shelter costs,Shelter costs,,,,x,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs115'>115</a>,6001042
