census_year,geo_name,category,sub_category,variable_name,topic,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2021,Whitehorse - Area,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous ancestry (only),First Nations (North American Indian) and Métis and Inuit ancestry only,Indigenous ancestry,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,,990
2021,Whitehorse - Area,Total - Indigenous ancestry for the population in private households - 25% sample data,,Indigenous and non-Indigenous ancestries,Indigenous ancestry,3185,1505,1685,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote72'>72</a>,990
2021,Whitehorse - Area,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous and non-Indigenous ancestries,Single Indigenous and non-Indigenous ancestries,Indigenous ancestry,3115,1450,1660,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote73'>73</a>,990
2021,Whitehorse - Area,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous and non-Indigenous ancestries,First Nations (North American Indian) and non-Indigenous ancestry only,Indigenous ancestry,2275,1065,1210,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,,990
2021,Whitehorse - Area,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous and non-Indigenous ancestries,Métis and non-Indigenous ancestry only,Indigenous ancestry,735,335,395,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,,990
2021,Whitehorse - Area,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous and non-Indigenous ancestries,Inuit and non-Indigenous ancestry only,Indigenous ancestry,105,55,50,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,,990
2021,Whitehorse - Area,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous and non-Indigenous ancestries,Multiple Indigenous and non-Indigenous ancestries,Indigenous ancestry,75,50,25,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote74'>74</a>,990
2021,Whitehorse - Area,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous and non-Indigenous ancestries,First Nations (North American Indian) and Métis and non-Indigenous ancestry only,Indigenous ancestry,55,35,15,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,,990
2021,Whitehorse - Area,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous and non-Indigenous ancestries,First Nations (North American Indian) and Inuit and non-Indigenous ancestry only,Indigenous ancestry,25,15,10,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,,990
2021,Whitehorse - Area,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous and non-Indigenous ancestries,Métis and Inuit and non-Indigenous ancestry only,Indigenous ancestry,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,,990
2021,Whitehorse - Area,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous and non-Indigenous ancestries,First Nations (North American Indian) and Métis and Inuit and non-Indigenous ancestry only,Indigenous ancestry,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,,990
2021,Whitehorse - Area,Total - Indigenous ancestry for the population in private households - 25% sample data,,Non-Indigenous ancestry only,Indigenous ancestry,25940,12950,12985,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote75'>75</a>,990
2021,Whitehorse - City,,,Total - Indigenous identity for the population in private households - 25% sample data,Indigenous population,27725,13610,14115,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote44'>44</a>,6001009
